nickname
비비안
빌리
빙고
비숍
블리스
블론디
보니타
보노
보리스
보스
브라이트
브루노
벅
버디
버니
시저
칼리
칼릭스
칼라
칼리아
카밀라
캡틴
카멜
카르멘
캐시
세실
셀레스틴
셀리나
샤샤
챔프
찰스
찰리
체이스
샤비
첼시
쉐리
칠리
클로에
크리시
처비
신디
클라라
클락
클라우디아
클레오
클레타
코코
코디
콜린
코니
쿠키
코비
코이
코요테
크림슨
크리스핀
크리스탈
큐티
사이클론
시마
데이지
다니카
다비
다리아
다린
다리오
다윈
데이브
다비드
딘
델라
델링
델핀
데니스
덴버
데리
데바
덱스터
디알로
딕
디노
딕시
돈나도리스
더글라스
듀크
더스틴
딜리스
에반
에보니
에코
에단
에델린
에덴
에드워드
에드원
엘리스
엘도라
엘프
엘린
엘리샤
엘리자베스
엘르
엘로이
엘사
엘비스
엘리시아
에밀리
에릭
에리스
에로
에스테반
에스더
에바
이브
파렐
파비앙
페도라
페펠리체
펠라
피델리오
필리아
플레타
플로리아
포레스트
프리맨
가브리엘
갈리
젬
젬마
조지
길버트
길리
지오반니
글로리아
구피
그레이스
그라니아
그레고리
할리
할로나
해피
하모니
해롤드
해리
헤바
헬리아
헤라
히어로
헤스티아
홀리스
허니
호프
휴버트
휴
휴이
이안
일리아나
인디라
잉그리드
이리나
아이리스
이삭
이사도라
이시스
제이스
잭
잭슨
재클린
제이드
제인
쟈스민
제스퍼
제퍼슨
제프리
제니퍼
제니
제레미
제리코
제리
제스
제시카
제시
조디
조안나
졸리
조르단
조이
쥬드
쥴리아
쥴리아나
쥴리엣
져스틴
카레나
카리스
카시아
케이트
켈란
켈리
케리
케빈
키티
클라우스
코리
쿠퍼
키라
라키아
랄라
라미스
라니
래피
라라
라비나
리
리나
렐리아
레오
레오폴드
레브
리디아
릴리
린다
리사
로이드
로니
로티
루이스
로웰
루시아
루시퍼
루카스
루나
마벨
마돈나
매기
마카이오
맬리사
말로
마나
만델리나
마농
마르시아
마가레트
메어리
마틸다
마야
멜리나
메리엘
미키
마이티
미니
미란다
미시
미스티
몰리
모네
모니카
모리스
머핀
뮬란
머피
나디아
날로
나미
나나
나니
나라
나르시스
나비드
닐
니마
네로
니아
니콜라스
닉키
니나
오델리아
올가
올리브
올리버
오스카
파블로
팔로마
파멜라
패트릭
파벨
페기
펠로
펜다
페피
페트라
필라
필립
핑키
플루토
포코
폴로
푸키
포피
프리모
프린스
프린세스
퍼피
라비아
레이나
랄프
람보
라니아
라비
레드포드
레기
레이
레미
렉스
리차드
리키
링고
리오
로비
로버트
로빈
록키
로자
롤로
로미오
로지
록시
로이
루돌프
루디
리안
샐리
살바토르
샘
삼손
샌디
사샤
스칼렛
스쿠프
세바스찬
셀마
세레나
세브리노
샤이나
샤샤사
실키
심바
사이먼
스니퍼
솔로몬
소니아
써니
소피
소라
스파키
스푸키
스포티
스티븐
스팅
스톰
슈가
스위티
실베스터
실비아
탈리아
탈리
타네시아
타니아
테드
티니
테라
테스
토마스
토모
트리샤
트루디
우바
움베르토
발렌시아
벨리카
베라
베르디
베로니카
빈센트
비토
비비
왈도
월터
웬디
월리엄
윌리
윈스톤
우디
야로
예티
유키
자자
제키
젤리아
제나
제니아
제논
제플린
제우스
질리
지나
지지
조우
조로
줄루
나폴레옹
셰익스피어
링컨
아리스토텔레스
알렉산드로스
엘리자베스
다윈
아인슈타인
쇼팽
톨스토이
안데르센
괴테
콜럼버스
파브르
갈릴레이
노벨
뉴턴
간디
멘델
단테
가우스
노이만
데카르트
포드
징기스칸
미켈란젤로
에디슨
파스퇴르
프로이트
다빈치
코페르니쿠스
튜링
아벨
소크라테스
가름
갈라르
걀
걀프
게르드
게이로드
게피온
군로드
굴린부르스티
굴린캄비
굴베이그
굴팍시
궁니르
그니팔헬리르
그레이프
그로아
그리드
글레입니르
기미르
긴눙가가프
길링
길피
김리
나글파르
나르비
나스트론드
난나
노른
노아툰
뇨르드
니드호그
니플헤임
드베르그
드라웁니르
드발린
드워프
라그나뢰크
란
레긴
로기
로스크바
로키
룬
리그
리프
리프트라시르
린드
링비
링호른
마그니
모드구드
모디
모티르
묠니르
무닌
무스펠
문
문딜파리
미드가르드
미미르
미스트칼프
나나헤임
바니르
바우기
발데르
발라스칼프
발리
발키리에
발할라
베
베르단디
베르겔미르
베스틀라
보르
볼베르크
부리
브라기
브레이다블리크
브로크
브리싱가멘
비그리드
비다르
비무르
비프로스트
빌리
빌스키르니르
선
세스룸니르
수르트
수퉁
스뇌르
스바딜파리
스바르탈프헤임
스카디
스콜
스쿨드
스크리미르
스키드라블라드니르
스키르니르
슬레입니르
시긴
시프
아스가르드
아스크
아에기르
아우둠라
아우르반딜
아이
아피
안드바리
알비스
알프
알프헤임
암마
앙그르보다
야른삭사
얄
에그테르
에다
에시르
에이트리
에인헤르자르
엘류드니르
엘리
엘프
엠블라
오드
오딘
강글레리
오테르
요르문간드
요툰헤임
우르드
우트가르드
이그드라실
이둔
이미르
이발디
카를
콘
크바시르
탕그노스트
탕그리스니
토르
토크
트랄
트롤
트루드
트루드헤임
트림
트림헤임
티르
티아지
티알피
파티르
파르니르
퍄라르
펜리르
펜살리르
풀크방
풀라
프라낭
프레이르
프레이야
프리그
핌불베트르
하티
헤르모드
헤이드룬
헤임달
헬
호니르
호드
후기
후긴
흐닛뵤르그
흐레세이
흐레이드마르
흐룽그니르
흐리드스칼프
히로킨
히미르
히민뵤르그
히민료트
제우스
헤라
포세이돈
데메테르
아테나
아폴론
아르테미스
아레스
아프로디테
헤르메스
헤파이스토스
디오니소스
헤베
하데스
페르세포네
헬리오스
헤라클레스
히프노스
카리테스
크로노스
데메테르
에로스
이오스
라토
가이아
나이키
무사이
오케아노스
오디세우스
셀레네
타나토스
티케
판
레아
우라노스
알페이오스
아스클레피오스
카리테스
비아
크라토스
디오네
에일레이티아
젤로스
페르세우스
체리
자두
딸기
오렌지
사과
키위
메론
포도
버찌
야자
복숭아
레몬
수박
망고
홍시
머루
자몽
살구
리치
다래
모과
거봉
유자
베리
매실
코코넛
바나나
석류
대추
단감
슈가애플
망고스틴
두리안
산딸기
아보카도
구아바
무화과
파파야
블루베리
파인애플
한라봉
스타후르츠
블림빙
감자
고구마
브로콜리
시금치
연근
우엉
양파
양배추
호박
깻잎
옥수수
배추
미나리
애호박
단호박
오이
당근
버섯
양송이
무
단무지
피망
부추
가지
바지
사슴
오이
담비
후추
마늘
치즈
간장
양말
소리
사라스와티
락쉬미
파르와티
우마
강가
샤크티
인드라니
우샤스
아프사라스
칼리
인드라
마루트스
수리야
바루나
아그니
드루바
바유
사스타
데바후티
가젠드라
하루만
푸루사오타마
브라흐미
루드라
비스바카루마
비스바루파
나라다
수라
아수라
야마
이스바라
쿠베라
가루다
세사
바리
희딤비
마트스야
쿠르마
바라하
느리싱하
바마나
파라슈라마
라마
크리슈나
칼키
브라흐마
비슈누
시바
라마
크리슈나
가네샤
무루간
하누만
아야나르
가린토
갈레트
낭만과자
마들렌
마르지판
마카로니
마카롱
머랭쿠키
버터쿠키
비스킷
사과파이
사브레
에그타르트
에클레르
쇼콜라
와플
진저브레드
찰떡쿠키
초코파이
건빵
깨찰빵
꽈배기
꽃빵
단팥빵
도넛
바게트
베이글
푸딩
브리오슈
소보로
스위트롤
찐빵
치아바타
카레빵
쿠키
크로켓
크루아상
크림빵
토스트
시폰
카스텔라
도리야키
롤케이크
머핀
몽블랑
밀푀유
카스텔라
크레이프
크로캉부슈
파운드 케이크
팬 케이크
슬러시
롤리팝
마시멜로
별사탕
츄파츕스
캐러멜
캔디
탕후루
민트초코
봉봉
뷔슈 드 노엘
브라우니
블론디
쇼콜라티에
엔디스
자허토르테
초코바나나
카메오
카카오
코코아
파베
퐁당 오 쇼콜라
핫초콜릿
화이트엔젤
가나슈
갈레트
갸또
누가
다쿠아즈
마들렌
마카롱
몽블랑
밀푀유
사브레
에클레르
크렘 브륄레
크로캉부슈
크루아상
타르트 타탱
파르페
프랄린
파낭시에
조니 워커
발렌타인
시바스 리갈
로얄 샬루트
커니 삭
임페리얼
윈저
올드파
더 맥켈란
글렌피딕
발베니
버번
와일드 터키
잭 다니엘스
제임슨
블랙 벨벳
야마자키
하쿠슈
가쿠빈
히비키
산토리 로열
훗카이도
요이치
미야기쿄
타케츠루
쓰리 소사이어티스
밀크 앤 허니
연
무휼
유리
하자
호동
세류
봉황
배극
주작
해명
낙랑
주몽
비류
괴유
스카니아
베라
루나
제니스
크로아
유니온
엘리시움
이노시스
레드
오로라
아케인
노바
하셀로
카디아
쥬디스
스티어스
브로아
엘니도
칼루나
벨로칸
마르디아
플라나
데메토스
아케니아
윈디아
카이니
크로아
옐론드
카스티아
스카니아
베라
제니스
컬버린
플레타
메리엘
레오나
아스터
메데르
갈리시아
다르
류호
미르
노바
코스모
안드로아
카오스
티탄
레전드
엘프
저스티스
레이븐
템페스트
판테온
얼티밋
아이테르
